timestamp,temperature
1584036089,-0.07
1584036090,-0.08
1584036091,-0.03
1584036092,-0.02
1584036093,0.14
1584036094,0.31
1584036095,0.34
1584036096,0.34
1584036097,0.37
1584036098,0.39
1584036099,0.45
1584036100,0.42
1584036101,0.49
1584036102,0.52
1584036103,0.43
1584036104,0.48
1584036105,0.46
1584036107,0.46
1584036111,0.49
1584036115,0.41
1584036129,0.26
1584036131,0.16
1584036133,0.01
1584036153,-0.14
1584036154,-0.22
1584036155,0.10
1584036156,0.07
1584036158,0.38
1584036159,0.26
1584036160,0.23
1584036161,0.11
1584036162,-0.03
1584036163,-0.08
1584036191,-0.30
1584036192,-0.33
1584036193,-0.34
1584036194,-0.41
1584036207,-0.38
1584036208,-0.07
1584036209,0.01
